date,name,ssg_bout,coach,total_distance_m,high_speed_distance_m,max_vel_ms,acceleration_density,stagnos_trimp
24/07/2019,8,5,0,220.10812,0.83,5.1885,0.75757,662.28
24/07/2019,9,5,1,237.61784,0,4.2895,0.69531,350.87
24/07/2019,10,5,1,258.11096,0,4.0755,0.71425,709.44
24/07/2019,11,5,1,244.24902,0,3.9405,0.78821,660.72
24/07/2019,12,5,1,231.49902,0,3.9505,0.68647,744.49
24/07/2019,13,5,1,291.69409,0.44,5.1865,0.73034,561.55
24/07/2019,14,5,0,245.21237,0,3.5415,0.59624,529.79
24/07/2019,15,5,0,253.22639,0,4.4685,0.69894,330.05
24/07/2019,16,5,0,225.386,0,3.2675,0.62281,556.66
24/07/2019,17,5,0,286.25656,0.96,4.9395,0.71457,546.61
24/07/2019,18,5,1,216.33006,0,4.2295,0.69219,193.75
27/07/2019,1,5,0,262.14304,0,4.6065,0.71805,643.65
27/07/2019,2,5,0,260.74219,9.01,5.1815,0.64344,534.57
27/07/2019,4,5,0,269.215,0,3.8285,0.58631,579.14
27/07/2019,5,5,0,286.177,10.53,5.8095,0.72105,604.42
27/07/2019,8,5,0,272.24927,11.65,5.8405,0.8215,496.91
27/07/2019,14,5,0,284.46118,0,3.8065,0.64148,503.94
27/07/2019,15,5,0,274.39545,9.96,5.3085,0.69166,550.85
27/07/2019,16,5,0,253.46344,0,3.6965,0.61876,525.6
27/07/2019,18,5,0,239.36494,5.21,5.0645,0.64708,526.18
17/07/2019,1,5,1,251.99243,0,4.7755,0.67531,728.36
17/07/2019,2,5,1,253.1759,3.39,5.0115,0.65037,185.86
17/07/2019,3,5,1,201.36694,0,3.5575,0.61561,661.34
17/07/2019,4,5,0,266.32068,0,4.5655,0.62826,703.19
17/07/2019,5,5,0,247.05359,0,4.4895,0.6415,672.67
17/07/2019,6,5,1,259.33145,0,4.9705,0.68252,516.75
17/07/2019,7,5,0,233.03027,6.59,5.7215,0.67309,670.97
17/07/2019,9,5,1,283.21555,0,3.9255,0.65072,493.65
17/07/2019,11,5,1,248.9108,0,4.7625,0.68858,698.1
17/07/2019,20,5,0,242.69205,0,4.4005,0.66943,712.64
17/07/2019,19,5,1,231.88972,7.3,5.5795,0.77211,253.54
17/07/2019,12,5,0,258.0174,0,4.2205,0.56437,690.72
17/07/2019,13,5,1,289.67163,0.95,5.1675,0.70791,544.47
17/07/2019,21,5,1,243.35129,6.75,5.6765,0.64019,677.36
17/07/2019,14,5,0,239.83733,0,3.9455,0.69613,543.58
17/07/2019,15,5,0,263.18903,12.93,5.6215,0.76304,703.93
17/07/2019,16,5,0,253.83911,0,3.4195,0.62137,713.74
17/07/2019,18,5,0,224.3584,0,3.6585,0.6932,703.34
22/07/2019,1,5,1,212.13501,0,4.3405,0.67353,718.09
22/07/2019,2,5,1,280.22617,0,3.7945,0.64421,668.05
22/07/2019,3,5,1,199.14087,16.22,5.9915,0.7761,670.66
22/07/2019,6,5,1,277.09991,0,4.8165,0.61433,501.5
22/07/2019,9,5,1,272.00079,0,4.1945,0.69495,548.72
22/07/2019,10,5,1,220.35889,0,5.1795,0.75848,697.21
22/07/2019,11,5,1,218.99097,0,4.2935,0.74287,617.77
22/07/2019,19,5,1,245.29037,0,4.2715,0.69796,645.31
22/07/2019,13,5,1,252.42915,1.88,5.3115,0.79794,504.24
