players,date,ssg_bout,total_distance_m,tot_hsr_distance,acceleration_density,total_player_load,player_load_slow,get_up,stagnos_trimp
37,17/07/2019,1,289.23398,9.2,0.84789,29.48875,8.49885,3,610.41
38,17/07/2019,1,303.53354,0,0.7102,31.10592,7.70547,0,475.3
23,17/07/2019,1,274.26758,0,0.74894,31.76051,11.26774,3,463.63
24,17/07/2019,2,255.33594,4.75,0.75341,25.88497,9.0556,0,557.7
25,17/07/2019,2,258.40036,0,0.68112,29.04147,12.12601,0,447.73
26,17/07/2019,2,303.38657,0,0.71418,31.48026,10.52589,0,404.84
27,17/07/2019,2,262.26288,0,0.7518,25.98802,9.30282,0,464.36
28,17/07/2019,2,321.47281,10.11,0.76898,30.67852,10.03142,1,682.76
29,17/07/2019,2,308.87756,0,0.64637,32.87906,9.96075,0,476.65
30,17/07/2019,2,287.41293,2.57,0.81593,31.39351,11.6875,0,702.77
31,17/07/2019,2,238.85167,0,0.77389,23.58728,9.32459,0,172.72
39,17/07/2019,2,294.57669,5.54,0.79909,33.32823,9.95942,2,712.72
34,17/07/2019,2,297.66492,9.97,0.82938,39.46623,12.42252,3,669.08
35,17/07/2019,2,296.36456,0,0.72801,30.62733,12.80415,1,487.46
33,17/07/2019,2,290.27457,0,0.74841,30.5825,9.3453,0,61.92
14,17/07/2019,2,273.93048,1.02,0.65207,23.03678,8.19144,0,789.48
36,17/07/2019,2,269.65915,0,0.88549,29.02036,9.70513,5,474.95
37,17/07/2019,2,302.15256,0,0.795,29.08301,9.50841,7,629.41
38,17/07/2019,2,305.56519,0,0.69999,31.77823,9.32269,0,507.17
23,17/07/2019,2,292.52017,1.45,0.72387,34.19826,12.49303,4,501.09
24,17/07/2019,3,275.70831,0.5,0.7834,29.46045,9.91729,0,605.17
25,17/07/2019,3,289.41495,0,0.67374,29.683,9.53429,0,457.7
26,17/07/2019,3,286.01529,0,0.79371,31.4919,11.91471,0,410.14
27,17/07/2019,3,283.84549,3.08,0.7333,29.56684,8.74702,0,520.25
28,17/07/2019,3,250.6761,0,0.77971,24.83239,10.15639,2,602.21
29,17/07/2019,3,256.5856,0,0.7403,30.19908,12.40759,1,459.23
30,17/07/2019,3,270.02478,0,0.71123,27.69401,11.47289,0,693.74
31,17/07/2019,3,242.13699,0.43,0.8013,22.58034,8.37371,0,294.59
39,17/07/2019,3,253.81424,1.43,0.70826,28.53572,11.63824,3,713.04
34,17/07/2019,3,277.64685,0,0.77954,36.37779,13.00304,3,648.46
35,17/07/2019,3,256.87354,0,0.72376,28.25532,13.99443,2,455.59
33,17/07/2019,3,272.20828,0,0.75798,29.91972,9.09681,0,518.28
14,17/07/2019,3,268.27078,4.28,0.72309,22.96071,8.91616,0,779.16
36,17/07/2019,3,221.72012,0,0.7338,23.02378,11.40596,4,436.63
37,17/07/2019,3,260.76544,0,0.71916,25.58649,11.54703,4,631.82
38,17/07/2019,3,263.78036,0,0.74214,28.81501,10.99434,0,498.91
23,17/07/2019,3,267.53632,0.46,0.63426,29.71964,13.95825,2,486.84
24,17/07/2019,4,248.5681,0,0.71156,26.63791,13.40572,0,523.98
25,17/07/2019,4,251.66617,0,0.75027,27.9333,11.04541,0,500.03
26,17/07/2019,4,249.33145,0,0.6577,26.51922,13.45459,0,360.33
27,17/07/2019,4,246.31216,0,0.73449,25.93314,9.84602,0,497.38
28,17/07/2019,4,276.38412,7.44,0.67992,25.20159,9.05142,3,666.11
29,17/07/2019,4,268.61694,0,0.60339,28.70913,10.05354,0,457.05
30,17/07/2019,4,271.99063,0,0.76551,27.77461,10.16042,0,700.09
31,17/07/2019,4,225.59195,0,0.75725,21.88713,9.39314,0,219.67
39,17/07/2019,4,269.59433,4,0.8077,28.13189,8.51178,3,693.4
34,17/07/2019,4,281.30905,0,0.77302,35.28669,12.78835,2,625.72
35,17/07/2019,4,258.56104,0,0.75324,27.38416,12.37218,1,443.18
33,17/07/2019,4,261.89532,0,0.60837,27.09441,11.26543,0,534.28
14,17/07/2019,4,263.76385,0,0.75518,24.42376,10.15173,0,526.32
36,17/07/2019,4,271.28317,0,0.848,27.1837,9.189,2,472.23
37,17/07/2019,4,263.4808,4.27,0.76161,25.25804,10.28241,3,590.94
38,17/07/2019,4,264.7406,1.56,0.70919,28.064,10.74996,0,484.39
23,17/07/2019,4,281.28339,0,0.76774,34.46075,12.95831,5,500.5
24,17/07/2019,5,276.63266,12.13,0.7881,29.80795,10.4149,0,635.75
25,17/07/2019,5,258.15808,0,0.70419,27.62751,12.57127,0,455.13
26,17/07/2019,5,280.72894,0,0.77296,32.11848,14.88731,0,445.49
27,17/07/2019,5,248.8252,0,0.69323,25.35772,8.972,0,510.06
28,17/07/2019,5,272.06665,0.9,0.73871,25.34423,8.91104,4,631.82
29,17/07/2019,5,291.56564,0,0.65457,30.77856,9.73862,1,427.2
30,17/07/2019,5,256.52139,0,0.7505,27.12883,11.97433,0,701.67
31,17/07/2019,5,221.15015,0,0.70093,22.07402,9.43126,0,237.14
39,17/07/2019,5,282.36694,2.79,0.69831,29.65292,8.73244,3,659.81
34,17/07/2019,5,316.17258,0,0.84214,41.16496,11.24203,2,682.99
35,17/07/2019,5,282.48755,0,0.70841,29.39926,13.41451,3,473.32
33,17/07/2019,5,250.86386,0,0.73461,26.45591,12.32596,0,534.28
14,17/07/2019,5,265.95248,1.34,0.7868,24.86696,9.81007,0,0
36,17/07/2019,5,233.43571,7.73,0.77323,23.77776,8.6855,4,434.15
37,17/07/2019,5,286.71249,0,0.76086,27.98797,11.51955,2,597.26
38,17/07/2019,5,288.59082,0,0.69001,27.64477,7.74998,0,489.55
23,17/07/2019,5,282.30157,0,0.65899,30.95906,13.6257,2,495.59
24,20/07/2019,1,205.77083,0,0.27527,21.45115,6.98566,0,379.15
25,20/07/2019,1,256.58228,0,0.50397,23.90769,9.48926,0,290
27,20/07/2019,1,214.59955,0.99,0.55947,21.31063,9.90759,3,300.17
28,20/07/2019,1,252.63324,0,0.66173,24.12363,11.63981,0,586.78
29,20/07/2019,1,239.50644,0,0.54494,24.32393,11.08834,3,326.51
30,20/07/2019,1,253.96754,0,0.65038,24.20732,10.27666,4,491.32
39,20/07/2019,1,284.0368,0.46,0.76171,31.2211,12.75609,0,556.26
32,20/07/2019,1,237.90933,0,0.60833,25.11622,9.43821,3,391.89
34,20/07/2019,1,260.81454,0,0.73483,32.10123,13.50493,0,473.94
35,20/07/2019,1,237.479,0,0.71335,27.70765,14.83909,0,414.75
