players,date,ssg_bout,total_distance_m,tot_hsr_distance,acceleration_density,total_player_load,player_load_slow,get_up,bullet,stagnos_trimp
13,15/07/2019,1,312.35123,8.48,0.63,28.91402,8.92108,1,1,535.52
14,15/07/2019,1,263.90186,4.08,0.59941,21.37741,7.76997,0,0,647.66
15,15/07/2019,1,284.13593,4.26,0.62642,24.95785,8.8674,0,0,618.77
16,15/07/2019,1,305.07803,0,0.62391,27.81454,10.12843,0,1,492.7
36,15/07/2019,1,352.57236,0,0.75734,32.9646,9.2205,0,1,542.64
17,15/07/2019,1,272.03094,0,0.52072,27.42665,11.69844,1,2,541.72
19,15/07/2019,1,305.65503,2.79,0.60759,27.01118,9.52831,0,0,620.91
18,15/07/2019,1,296.56424,0,0.58434,29.00273,10.88515,0,0,608.07
20,15/07/2019,1,277.86984,5.93,0.52889,31.65525,14.46712,0,0,637.33
37,15/07/2019,1,281.54453,0,0.48974,26.74785,10.09813,1,1,506.58
38,15/07/2019,1,316.14951,8.33,0.66629,30.96011,11.24341,0,0,473.45
22,15/07/2019,1,292.13446,0,0.54157,33.44733,9.71829,0,0,649.14
23,15/07/2019,1,302.88895,5.47,0.59421,31.21965,11.40094,2,1,562.64
24,15/07/2019,2,353.77899,14.8,0.63578,33.17291,11.27881,0,0,368.07
25,15/07/2019,2,348.67462,30.56,0.66562,35.33045,10.69034,0,0,606.11
1,15/07/2019,2,283.97382,0,0.60628,31.93658,11.95346,1,1,890.26
2,15/07/2019,2,291.97083,1.19,0.62518,32.37941,12.56314,2,2,688.94
3,15/07/2019,2,240.02893,0,0.51399,31.2575,13.43999,0,2,620.42
26,15/07/2019,2,414.85071,0,0.73658,41.37371,9.92497,0,0,576.94
4,15/07/2019,2,315.00015,7.97,0.61537,36.57584,14.2825,0,0,870.92
5,15/07/2019,2,326.71964,3.12,0.57178,32.12556,9.71111,0,0,506.59
27,15/07/2019,2,356.8681,0,0.66462,35.47525,9.17525,0,0,636.93
28,15/07/2019,2,261.77011,0,0.54757,22.58593,9.90172,0,1,453.44
29,15/07/2019,2,303.23825,0,0.5995,29.85572,12.44586,0,0,498.13
6,15/07/2019,2,302.98312,16.28,0.58654,30.11691,12.03572,0,0,691.01
7,15/07/2019,2,295.6478,5.13,0.57701,35.1673,11.66324,1,0,539.35
30,15/07/2019,2,388.23724,7.88,0.67723,35.37053,10.38464,0,0,763.47
31,15/07/2019,2,250.56293,0,0.55122,21.41854,9.04768,0,0,537.02
8,15/07/2019,2,312.75211,8.98,0.62896,29.78492,11.27974,0,0,0
39,15/07/2019,2,285.02655,0,0.66129,28.12067,11.0276,0,1,774.67
9,15/07/2019,2,288.78629,0,0.58076,33.15499,10.78745,0,0,424.63
10,15/07/2019,2,227.31146,0,0.50723,21.61673,10.14146,4,1,593
11,15/07/2019,2,313.56049,0,0.6114,30.22426,10.3754,2,0,742.09
12,15/07/2019,2,309.28842,0.88,0.63324,38.78831,18.4637,0,0,674.66
35,15/07/2019,2,359.92087,15.14,0.64089,33.67856,8.01443,3,0,550.49
34,15/07/2019,2,373.7207,0,0.65746,44.60402,11.04248,0,0,677.58
33,15/07/2019,2,321.26431,0,0.54111,29.05121,9.64999,0,0,473.46
13,15/07/2019,2,253.40756,1.46,0.55449,24.55121,9.9147,2,2,554.01
14,15/07/2019,2,310.2717,0,0.6834,25.42356,9.09171,0,0,646.61
15,15/07/2019,2,284.8392,0,0.53532,24.46404,10.7715,0,0,559.34
16,15/07/2019,2,309.32574,0.94,0.60664,29.58461,9.95793,1,2,503.58
