players,date,ssg_bout,total_distance_m,tot_hsr_distance,acceleration_density,total_player_load,player_load_slow,get_up,bullet,stagnos_trimp
4,15/07/2019,6,207.35742,0,0.54324,24.25503,12.23557,1,1,774
5,15/07/2019,6,227.44814,0,0.65547,27.0905,10.82657,4,4,545.19
7,15/07/2019,6,201.81519,0,0.63529,27.70683,17.88713,0,0,488.47
6,15/07/2019,6,236.82866,10.3,0.73813,28.44721,11.97292,3,3,729.87
8,15/07/2019,6,225.81723,0,0.68047,24.63549,14.33679,1,5,0
9,15/07/2019,6,209.4404,0,0.63772,31.2363,21.91208,0,0,496.31
10,15/07/2019,6,190.13345,0,0.69642,20.37605,12.32867,0,0,640.85
11,15/07/2019,6,199.82217,0,0.68243,23.91036,12.80144,0,0,631.41
12,15/07/2019,6,250.00569,1.22,0.69093,30.95236,17.05334,2,0,578.27
13,15/07/2019,6,222.73405,0,0.72017,26.66364,13.35132,0,0,631.7
15,15/07/2019,6,192.31821,0,0.56837,20.03348,10.69794,3,3,592.75
16,15/07/2019,6,235.44832,0,0.78451,31.33343,15.02342,0,0,569.34
17,15/07/2019,6,223.56621,0,0.62114,27.11576,14.07326,0,0,600.41
18,15/07/2019,6,214.26884,0,0.60106,25.09257,14.97458,3,0,512.69
19,15/07/2019,6,251.51865,0,0.65758,25.3442,12.15025,1,2,649.93
20,15/07/2019,6,210.62631,11.59,0.65383,28.55127,13.82825,4,0,642.88
22,15/07/2019,6,208.68619,0,0.6043,25.99043,14.83946,0,2,608.81
1,17/07/2019,1,233.84036,0.83,0.70875,26.63188,10.79462,0,0,774
2,17/07/2019,1,257.55573,0,0.74352,34.72477,15.10938,0,0,660.34
3,17/07/2019,1,209.87724,6.85,0.72047,30.13677,14.02087,0,0,714.59
4,17/07/2019,1,217.82739,0.33,0.60629,25.55523,14.51016,2,1,767.29
5,17/07/2019,1,225.87996,1.46,0.70908,25.60363,13.0267,4,6,736.29
7,17/07/2019,1,253.07996,0,0.64298,30.42476,11.23194,0,0,533.61
6,17/07/2019,1,254.60431,4.08,0.76601,33.01265,13.75764,4,2,762.64
9,17/07/2019,1,244.73982,1.43,0.66463,32.2315,14.05915,0,0,540.48
11,17/07/2019,1,243.82007,0,0.62735,23.47969,9.95499,0,0,672.74
12,17/07/2019,1,243.72133,10.17,0.70693,30.05233,16.53505,2,1,720.79
13,17/07/2019,1,219.98401,0.43,0.69604,23.71413,10.98913,0,0,714.1
15,17/07/2019,1,225.81721,0,0.62338,22.83182,11.33605,2,2,745.59
16,17/07/2019,1,262.19156,0,0.75907,27.6309,10.23055,0,0,545.64
17,17/07/2019,1,232.36942,0,0.71689,27.84938,11.72369,0,0,633.99
18,17/07/2019,1,241.09367,0,0.69758,29.09678,12.40268,5,4,539.44
19,17/07/2019,1,259.89838,0,0.81768,27.70595,10.8682,3,2,751.79
20,17/07/2019,1,230.7912,0,0.61075,27.51184,14.15963,0,1,626.24
22,17/07/2019,1,218.04849,0,0.65047,24.07636,10.70821,2,1,584.39
1,17/07/2019,2,233.22482,0,0.62182,26.73973,11.44389,0,0,704.27
2,17/07/2019,2,240.68726,0,0.65703,30.80966,16.31458,0,0,563.68
3,17/07/2019,2,194.48814,0,0.65207,27.63398,13.04919,0,0,630.53
4,17/07/2019,2,229.6991,4,0.60215,29.91289,14.38635,4,1,686.96
5,17/07/2019,2,248.68962,1.88,0.7357,28.1912,12.21308,4,4,675.19
7,17/07/2019,2,258.08261,0,0.68484,30.86559,12.31248,0,0,505.49
6,17/07/2019,2,268.76892,0.4,0.72702,31.16928,13.69189,3,4,707.66
9,17/07/2019,2,268.90103,0,0.73987,36.2875,13.28593,0,0,499.72
11,17/07/2019,2,236.46236,0,0.72982,23.41152,10.61407,0,0,651.76
12,17/07/2019,2,254.5742,0,0.71485,31.204,13.68279,2,3,694.38
13,17/07/2019,2,221.21494,0,0.75737,26.08505,12.87712,0,0,461.41
15,17/07/2019,2,233.51103,0,0.57478,23.98653,11.53696,2,1,702.49
16,17/07/2019,2,285.47763,1.88,0.6534,29.89388,10.16386,0,0,535.46
17,17/07/2019,2,220.37949,0,0.77113,24.23685,11.03769,0,0,560.46
18,17/07/2019,2,237.95244,0,0.6615,27.29623,11.26087,4,2,538.71
19,17/07/2019,2,265.29315,0,0.72091,27.6524,13.3056,2,2,721.24
20,17/07/2019,2,229.40866,0,0.59414,28.47931,14.02628,1,2,607.07
22,17/07/2019,2,239.28098,0,0.65111,27.12815,10.49565,2,3,593.77
1,17/07/2019,3,232.4735,0,0.70185,26.09094,11.02423,0,0,702.69
2,17/07/2019,3,255.33098,0,0.62485,33.0751,15.57858,0,0,344.21
3,17/07/2019,3,200.00684,0,0.56387,25.68849,13.0316,0,0,645.23
4,17/07/2019,3,231.61401,0,0.58888,28.95523,12.42117,4,1,711.47
5,17/07/2019,3,251.46538,1.48,0.65857,29.628,10.94507,5,3,570.8
7,17/07/2019,3,257.31149,0,0.63943,31.546,11.84203,0,0,495.22
6,17/07/2019,3,260.13156,1.87,0.64844,31.7039,12.80008,3,1,671.66
9,17/07/2019,3,259.45801,0,0.71669,31.85949,12.75282,0,0,489.75
11,17/07/2019,3,231.96478,0,0.62455,25.06318,10.3143,0,0,657.38
12,17/07/2019,3,261.20297,0,0.68267,30.08135,13.24132,2,2,572.36
13,17/07/2019,3,222.71722,7.07,0.70694,23.79843,10.02965,0,0,120.63
15,17/07/2019,3,234.84756,0,0.72157,23.64992,9.37033,2,3,673.65
16,17/07/2019,3,260.12103,1.39,0.72729,27.77479,10.37367,0,0,547.59
17,17/07/2019,3,236.99274,0,0.69332,24.04813,9.52026,0,0,551.62
18,17/07/2019,3,251.36983,4.93,0.57443,26.41802,10.13422,2,2,505.89
19,17/07/2019,3,273.17328,1.36,0.80774,28.61513,11.27094,3,2,672.29
20,17/07/2019,3,226.07425,2.61,0.70048,27.15141,11.87919,1,1,548.81
22,17/07/2019,3,245.38852,0,0.66061,26.99242,9.81107,1,5,653.23
1,17/07/2019,4,260.88846,0,0.66896,30.57285,10.22838,0,0,729.34
2,17/07/2019,4,255.94728,0,0.58725,33.80109,16.21359,0,0,497.8
3,17/07/2019,4,209.56436,0,0.54554,27.71511,12.90742,0,0,642.05
4,17/07/2019,4,239.23404,0,0.5548,28.27953,14.66095,2,0,678.92
5,17/07/2019,4,247.5657,0,0.64316,28.56257,12.47575,4,6,688.22
7,17/07/2019,4,265.64063,0,0.66547,32.53677,13.15077,0,0,494.36
6,17/07/2019,4,250.44226,2.74,0.69315,30.51551,14.64182,4,1,661.79
9,17/07/2019,4,262.60626,0,0.67049,32.22918,11.90234,0,0,502.35
11,17/07/2019,4,244.43831,0,0.65399,22.63354,9.82771,0,0,619.81
12,17/07/2019,4,249.18585,0,0.63313,28.05736,15.23495,2,0,600.14
13,17/07/2019,4,244.78102,4.49,0.77544,25.51364,10.96146,0,0,303.44
15,17/07/2019,4,242.66895,0,0.61303,22.88563,11.53992,1,2,739.37
16,17/07/2019,4,281.39789,0,0.73095,29.88793,10.56906,0,0,546.39
17,17/07/2019,4,231.98189,0,0.6579,24.99616,10.93211,0,0,535.75
18,17/07/2019,4,231.40787,0,0.67285,27.73849,13.18454,5,5,531.94
19,17/07/2019,4,250.26294,0,0.70495,27.65146,12.03038,2,3,650.22
20,17/07/2019,4,237.96191,6.29,0.71741,30.92086,13.60306,3,1,687.08
22,17/07/2019,4,213.55737,0,0.7036,23.87315,11.03229,2,6,572.64
1,17/07/2019,5,251.99243,0,0.67531,27.68398,10.97862,0,0,728.36
2,17/07/2019,5,253.1759,0.44,0.65037,31.3697,14.16573,0,0,185.86
3,17/07/2019,5,201.36694,0,0.61561,26.96127,13.18091,0,0,661.34
4,17/07/2019,5,266.32068,0,0.62826,31.85123,12.83354,1,1,703.19
5,17/07/2019,5,247.05359,0,0.6415,26.35916,11.1066,5,3,672.67
7,17/07/2019,5,259.33145,0,0.68252,32.34098,13.91371,0,0,516.75
6,17/07/2019,5,233.03027,6.59,0.67309,27.29572,12.17796,4,4,670.97
9,17/07/2019,5,283.21555,0,0.65072,35.33466,13.60048,0,0,493.65
11,17/07/2019,5,248.9108,0,0.68858,24.59124,7.97087,0,0,698.1
12,17/07/2019,5,242.69205,0,0.66943,27.76026,13.73492,3,1,712.64
13,17/07/2019,5,231.88972,7.3,0.77211,26.11473,10.12227,0,0,253.54
15,17/07/2019,5,258.0174,0,0.56437,24.94133,10.81076,1,1,690.72
16,17/07/2019,5,289.67163,0.95,0.70791,29.24717,10.22797,0,0,544.47
17,17/07/2019,5,243.35109,4.33,0.64019,26.34639,10.73361,0,0,677.36
18,17/07/2019,5,239.83733,0,0.69613,26.15837,11.11307,3,3,543.58
19,17/07/2019,5,263.18909,12.93,0.76304,26.19979,11.00635,5,3,703.93
20,17/07/2019,5,253.83911,0,0.62137,30.65874,13.11278,0,2,713.74
22,17/07/2019,5,224.3584,0,0.6932,25.49878,10.33633,2,4,703.34
1,20/07/2019,1,213.46358,0,0.68108,26.25039,14.66212,0,0,678.74
2,20/07/2019,1,219.07352,0.89,0.72822,29.94831,15.2262,0,0,543.39
3,20/07/2019,1,173.78261,0,0.56532,27.23701,17.67213,0,0,545.43
4,20/07/2019,1,186.3475,0.79,0.61258,21.93825,14.39931,3,2,474.72
5,20/07/2019,1,197.64636,0,0.5292,20.14124,15.1871,1,3,541.25
7,20/07/2019,1,214.90704,0,0.61406,27.17767,15.38152,0,0,416.35
6,20/07/2019,1,192.05437,0.81,0.62683,23.64272,15.40695,2,4,508.71
8,20/07/2019,1,201.91797,0,0.69679,20.68498,12.21568,2,4,470.49
9,20/07/2019,1,239.66582,0,0.70569,29.67637,13.7948,0,0,387.18
10,20/07/2019,1,228.56845,0,0.60666,22.27797,13.25304,0,0,597.52
11,20/07/2019,1,215.27333,0,0.69081,21.97593,11.8396,0,0,475.31
12,20/07/2019,1,180.07382,0,0.56802,25.00025,15.88579,5,2,375.03
13,20/07/2019,1,217.29764,0,0.5903,23.21536,13.86625,0,0,509.37
15,20/07/2019,1,208.356,0,0.55082,22.71369,15.78496,2,2,443.71
16,20/07/2019,1,256.44058,0,0.60165,26.7927,11.59908,0,0,353.3
17,20/07/2019,1,202.12595,0,0.58398,25.3242,16.50135,0,0,428.12
18,20/07/2019,1,213.15056,0,0.64595,24.44687,12.06105,3,4,445.04
19,20/07/2019,1,203.49837,0,0.67201,24.74937,13.46632,4,0,55.88
20,20/07/2019,1,171.73456,0,0.6147,22.35926,16.00098,3,2,472.69
22,20/07/2019,1,193.10777,0,0.59642,23.55091,13.99486,3,2,441.21
1,20/07/2019,2,203.18526,0,0.69412,26.21478,15.00058,0,0,672.53
2,20/07/2019,2,215.30359,0,0.65918,30.65108,18.20127,0,0,569.24
3,20/07/2019,2,185.97693,0,0.61335,27.93869,17.9695,0,0,577.67
4,20/07/2019,2,197.85471,0,0.57355,24.71992,15.44745,1,3,554.17
5,20/07/2019,2,212.99902,0,0.5784,23.73861,14.2099,3,0,583.48
7,20/07/2019,2,208.26338,0,0.61869,26.83263,16.47863,0,0,423.24
6,20/07/2019,2,218.03317,4.2,0.62453,26.78441,16.79794,3,2,535.06
8,20/07/2019,2,223.53639,3.4,0.75676,24.56219,10.25027,3,4,501.01
9,20/07/2019,2,217.72263,0,0.74983,29.29434,16.72918,0,0,470.55
10,20/07/2019,2,194.33904,0,0.72038,21.41732,12.65427,0,0,701.68
11,20/07/2019,2,209.13448,0,0.60796,21.80018,12.548,0,0,513.9
12,20/07/2019,2,216.07939,0,0.63077,26.49693,14.7645,4,1,449.47
13,20/07/2019,2,212.17606,0,0.65782,22.91012,13.1313,0,0,573.39
15,20/07/2019,2,201.65906,0,0.62504,21.92004,13.81624,2,3,521.84
16,20/07/2019,2,252.27179,0,0.71326,31.7861,13.56333,0,0,468.06
17,20/07/2019,2,225.85352,5.28,0.60457,28.24348,14.60069,0,0,480.98
18,20/07/2019,2,218.89241,0,0.58331,22.40157,12.34299,2,4,444.12
19,20/07/2019,2,222.33035,0,0.70946,26.35815,13.6498,1,3,162.56
20,20/07/2019,2,185.82961,0,0.57419,23.95757,15.15707,3,1,575.99
22,20/07/2019,2,214.03101,5.95,0.6077,25.12089,12.83527,2,2,475.1
1,20/07/2019,3,198.62076,0,0.67721,22.82349,13.33988,0,0,688.34
2,20/07/2019,3,220.24187,0,0.61475,30.01992,19.71163,0,0,564.13
3,20/07/2019,3,175.13168,0,0.54229,23.13507,12.73222,0,0,606.09
4,20/07/2019,3,185.06906,0,0.58962,23.46129,17.95615,2,1,672.14
5,20/07/2019,3,212.14775,0,0.60958,24.09824,15.1205,1,2,656.05
7,20/07/2019,3,202.23651,0,0.59243,25.82186,16.6894,0,0,404.79
6,20/07/2019,3,211.83318,2.37,0.6105,25.28345,14.53407,2,4,680.71
8,20/07/2019,3,201.32495,0,0.64694,23.71046,12.56944,3,7,629.93
9,20/07/2019,3,196.47469,0.31,0.73065,26.46996,14.66555,0,0,460.69
10,20/07/2019,3,204.10083,0,0.7373,22.9066,12.85916,0,0,712.51
11,20/07/2019,3,189.1274,1.26,0.61192,19.98342,12.39127,0,0,496.63
